Adjective,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
genaamd,-3.8427102896377474,1.7280861637702414
wennen,-2.42722249612291,0.4297255145710105
modern,-2.293467541779159,0.4704489168567387
talentvol,-1.7758512054477238,-0.7554285214093597
waar,-1.6156638349681098,0.3601402159513261
rustig,-1.549536220482017,0.3601402159513261
echt,-1.215995219749506,0.6991478115507695
bezig,-1.1405654620451624,0.7506539443715123
zorgvuldig,-0.7168445773818297,0.4297255145710105
goed,-0.7038004968597068,0.4651538043621073
stil,-0.7038004968597068,0.4704489168567387
laat,-0.7038004968597068,-3.3361182359301917
ambitieus,-0.6551942666491478,-6.444402809265692
freelance,-0.5992242607254153,-4.645220801797546
eigen,-0.5444489061036101,-1.541045209631406
vrouwelijk,-0.5291023534302721,-0.6697047272247392
gave,-0.5291023534302721,0.3601402159513261
prachtig,-0.5291023534302721,0.3601402159513261
nieuw,-0.5291023534302721,-0.725371814763986
uitstekend,-0.5291023534302721,0.4704489168567387
leuk,-0.5291023534302721,0.3601402159513261
duurzaam,-0.5291023534302721,-0.5585548198928766
befaamd,-0.5291023534302721,-0.5585548198928766
bang,-0.5291023534302721,0.601092773932713
rijk,-0.4982558782456041,0.3601402159513261
groot,-0.4982558782456041,-0.6521513240956294
terecht,-0.4982558782456041,-0.5585548198928766
uniek,-0.3264378612648542,0.3601402159513261
oud,-0.012454947491159,-5.963256966215849
klein,-0.0111199508431857,-1.7374255410149215
hetzelfde,-0.009895721218166,0.4297255145710105
bereid,-0.009895721218166,-0.7088220485478943
ambachtelijk,-0.009895721218166,-0.6987830590766932
perfect,-0.009895721218166,3.2397262716064814
eenvoudig,-0.009895721218166,0.4993487041032098
hoog,0.3414363568626443,0.3601402159513261
trots,0.3414363568626443,0.8654717049055141
gewoon,0.3414363568626443,0.555843703975482
precies,0.3414363568626443,0.4297255145710105
beu,0.3896525456182297,0.3601402159513261
saai,0.3896525456182297,0.4704489168567387
vreemds,0.3896525456182297,0.6388891501466675
wakker,0.3896525456182297,0.4704489168567387
wekenlang,0.3896525456182297,0.6098617484500232
afhankelijk,0.3896525456182297,0.3601402159513261
uiterst,0.3896525456182297,0.3601402159513261
uurlang,0.3896525456182297,0.7267069779360905
verliefd,0.3896525456182297,0.3601402159513261
kwijt,0.3896525456182297,0.3601402159513261
leeg,0.3896525456182297,0.4297255145710105
eigenlijk,0.3896525456182297,0.5808839557572474
enthousiast,0.3896525456182297,0.4993487041032098
freelanac,0.3896525456182297,-0.6287214942846164
glad,0.3896525456182297,0.3601402159513261
dankbaar,0.3896525456182297,-1.3908664436518656
creatief,0.3896525456182297,-0.6987830590766932
mysterieuz,0.3896525456182297,0.5217710585496743
ander,0.4145409886780048,2.410054231185809
hard,0.4593429054309049,2.9793121092009547
dagelijks,0.4593429054309049,0.4704489168567387
vrij,0.4593429054309049,0.4297255145710105
aandachtig,0.4593429054309049,0.3601402159513261
gelukkig,0.4593429054309049,4.318812303837828
tevreden,0.4593429054309049,2.896701386929689
bekwaam,0.4593429054309049,-0.6287214942846164
vaak,0.4593429054309049,0.0831877491147061
onvermoeibaar,0.5001235906516632,0.4993487041032098
constant,0.5001235906516632,0.7319535608126522
vast,0.5001235906516632,0.4297255145710105
veilig,0.5290685960532512,0.3601402159513261
trouw,0.5515313462237407,0.4993487041032098
bescheiden,0.5698957025323238,-0.5585548198928766
open,0.5698957025323238,0.3601402159513261
eerder,0.5854328250483677,0.8382064787325155
vastbesloten,0.5863072765837769,0.5217710585496743
lang,0.6107900104173059,0.7646766327648281
levendig,0.6111175811450056,0.6323718798976602
zeker,0.6310684368886658,0.555843703975482
dichter,0.6398719163772036,0.4704489168567387
nieuwsgierig,0.6865105884616348,0.3440812040469034
uiteindelijk,0.7332241377926936,0.5552048368389797
plotseling,0.7332241377926936,0.5400974133440352
klaar,0.9818438707349578,0.6840677395994986
vol,1.010585717061575,0.5217710585496743
zoek,1.0687363704759825,-0.4336382837393854
ver,1.1780513400215875,-2.3180077345079897
crẹ,1.3124093612792571,-0.5585548198928766
bekend,1.4481407738007308,-2.857295505338904
snel,1.657707101357488,-0.4336382837393854
jaarlang,1.959467721087297,-5.774374440709672
eenzaam,2.5738245789852727,-0.0999201597853241
eindelijk,2.9078330122361766,0.6991478115507695
diep,3.622817679384135,0.5400974133440352
