Adjectives,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
vastbesloten,-1.860772643699336,1.0479933649186437
charmant,-1.7454989820788895,0.3936781418102144
ambitieus,-1.7362509951894185,2.087563574862922
jaarlang,-1.7026654348339632,-0.8812196335469162
eigen,-1.3115046154533356,-1.5266165401489875
talentvol,-1.2948245420857336,-1.567766279890118
genaamd,-0.8021502174528821,-8.698411683279726
architect,-0.7133794954502607,-0.5250415203343705
gewoon,-0.6450190569351676,-0.4693242091136351
werkzaam,-0.6200839312861864,-1.1069736885781365
kort,-0.5610992546022271,0.3936781418102144
bezig,-0.5497154464839932,0.793819730509028
goed,-0.5497154464839932,4.006122142136475
druk,-0.5497154464839932,0.023404885002379
bekend,-0.2501868352871474,1.131039665075092
verliefd,0.2349795614883686,1.0479933649186437
werkelijk,0.3692961512726687,0.5041430735374021
lang,0.3692961512726687,0.5894172992632527
klaar,0.3692961512726687,0.5738894308887734
trots,0.3692961512726687,1.8441473266552637
onbewust,0.3692961512726687,-0.5250415203343705
rustig,0.3692961512726687,0.3936781418102144
kwijt,0.3692961512726687,0.3936781418102144
dagelijks,0.3692961512726687,0.3936781418102144
ander,0.3692961512726687,-1.246095134555697
eerlijk,0.3692961512726687,0.3936781418102144
zorgvuldig,0.3692961512726687,0.4633687265192989
graaft,0.3692961512726687,0.3936781418102144
eigenlijk,0.3692961512726687,0.8656829994587517
groot,0.3692961512726687,-0.2816712549686285
erg,0.3692961512726687,-1.1069736885781365
belangrijk,0.4389991232227008,0.5738894308887734
bewust,0.4389991232227008,0.5330800663558458
eerder,0.4389991232227008,0.6955936666927577
terecht,0.4389991232227008,0.4633687265192989
slim,0.4389991232227008,0.9204672749017928
sterk,0.4389991232227008,-1.1069736885781365
bereid,0.4798256995763948,0.3936781418102144
zoek,0.4798256995763948,-6.262340727468321
oud,0.4798256995763948,-4.1554613657200274
ver,0.4798256995763948,-0.8120294374982803
dichter,0.5088251376536526,0.4633687265192989
trouw,0.5088251376536526,0.4633687265192989
zeker,0.5088251376536526,0.3936781418102144
uiteindelijk,0.5313458460318504,1.4885362812469816
laat,0.6107063780639154,0.3936781418102144
eenzaam,1.3406573159698314,0.4633687265192989
langzaam,1.3922320777572612,0.3936781418102144
plotseling,1.955278986982032,0.5894172992632527
snel,2.642984246658419,4.085632861554175
diep,3.543101731335887,0.5894172992632527
